raw_eeg_data
%
%Sample Rate = 250.0 Hz
%First Column = SampleIndex
%Last Column = Timestamp
%Other Columns = EEG data in microvolts followed by Accel Data (in G) interleaved with Aux Data
"35, -54482.44, -51979.36, -187500.02, -151995.45, -53014.74, -46885.26, -16641.97, -29522.90, 0.000, 0.000, 0.000, 13:06:55.830"
"36, -54539.06, -52035.51, -187500.02, -151927.58, -53064.65, -46975.68, -16688.01, -29584.83, 0.000, 0.000, 0.000, 13:06:55.834"
"37, -54480.54, -51975.00, -187500.02, -152029.66, -52998.09, -46932.52, -16804.80, -29517.91, 0.000, 0.000, 0.000, 13:06:55.838"
"38, -54450.55, -51942.57, -187500.02, -152065.70, -52960.11, -46870.49, -16830.35, -29483.20, 0.000, 0.000, 0.000, 13:06:55.841"
"39, -54518.36, -52009.31, -187500.02, -151927.13, -53021.44, -46905.29, -16757.04, -29554.17, 0.000, 0.000, 0.000, 13:06:55.845"
"40, -54591.14, -52080.43, -187500.02, -151836.61, -53090.11, -46996.71, -16768.70, -29625.00, 0.000, 0.000, 0.000, 13:06:55.849"
"41, -54529.36, -52014.88, -187500.02, -151938.34, -53023.77, -46963.29, -16880.42, -29560.29, 0.000, 0.000, 0.000, 13:06:55.853"
"42, -54458.84, -51943.46, -187500.02, -152017.36, -52950.36, -46865.06, -16911.46, -29483.54, 0.000, 0.000, 0.000, 13:06:55.858"
"43, -54511.37, -51997.15, -187500.02, -151917.69, -53001.53, -46879.39, -16836.09, -29524.33, 0.000, 0.000, 0.000, 13:06:55.862"
"44, -54565.41, -52049.21, -187500.02, -151814.47, -53053.12, -46939.76, -16797.38, -29571.98, 0.000, 0.000, 0.000, 13:06:55.866"
"45, -54564.70, -52046.39, -187500.02, -151896.80, -53048.20, -46967.61, -16902.52, -29567.47, 0.000, 0.000, 0.000, 13:06:55.869"
"46, -54477.61, -51960.79, -187500.02, -151992.70, -52957.50, -46872.25, -16951.47, -29475.89, 0.000, 0.000, 0.000, 13:06:55.873"
"47, -54480.50, -51965.50, -187500.02, -151916.63, -52953.09, -46826.79, -16867.72, -29466.68, 0.000, 0.000, 0.000, 13:06:55.877"
"48, -54632.27, -52118.52, -187500.02, -151767.48, -53097.26, -46972.37, -16813.99, -29613.85, 0.000, 0.000, 0.000, 13:06:55.881"
"49, -54604.91, -52089.44, -187500.02, -151807.88, -53064.96, -46988.53, -16907.17, -29592.68, 0.000, 0.000, 0.000, 13:06:55.885"
"50, -54473.30, -51957.14, -187500.02, -151914.28, -52930.96, -46853.43, -16956.97, -29462.62, 0.000, 0.000, 0.000, 13:06:55.890"
"51, -54529.54, -52012.91, -187500.02, -151860.73, -52984.79, -46862.26, -16912.83, -29516.80, 0.000, 0.000, 0.000, 13:06:55.893"
"52, -54641.99, -52123.35, -187500.02, -151692.97, -53090.93, -46968.93, -16844.21, -29624.04, 0.000, 0.000, 0.000, 13:06:55.897"
"53, -54608.35, -52086.92, -187500.02, -151693.17, -53050.19, -46972.46, -16906.55, -29592.75, 0.000, 0.000, 0.000, 13:06:55.901"
"54, -54506.87, -51983.54, -187500.02, -151797.94, -52942.88, -46874.00, -16977.11, -29493.66, 0.000, 0.000, 0.000, 13:06:55.905"
"55, -54552.71, -52030.03, -187500.02, -151764.78, -52981.99, -46876.66, -16955.07, -29527.41, 0.000, 0.000, 0.000, 13:06:55.909"
"56, -54652.94, -52130.39, -187500.02, -151587.05, -53074.91, -46957.68, -16873.04, -29617.94, 0.000, 0.000, 0.000, 13:06:55.913"
"57, -54641.12, -52120.73, -187500.02, -151543.84, -53061.05, -46978.89, -16909.81, -29607.79, 0.000, 0.000, 0.000, 13:06:55.918"
"58, -54598.71, -52080.50, -187500.02, -151636.94, -53016.97, -46946.82, -16999.80, -29562.06, 0.000, 0.000, 0.000, 13:06:55.921"
"59, -54580.03, -52063.36, -187500.02, -151636.69, -52996.43, -46896.17, -16992.18, -29538.68, 0.000, 0.000, 0.000, 13:06:55.924"
"60, -54669.41, -52153.46, -187500.02, -151469.36, -53083.89, -46961.77, -16901.65, -29625.61, 0.000, 0.000, 0.000, 13:06:55.929"
"61, -54670.75, -52152.90, -187500.02, -151395.64, -53082.57, -46994.96, -16902.88, -29620.98, 0.000, 0.000, 0.000, 13:06:55.933"
"62, -54596.28, -52074.33, -187500.02, -151496.61, -53003.76, -46938.19, -16984.89, -29541.12, 0.000, 0.000, 0.000, 13:06:55.937"
"63, -54646.08, -52127.78, -187500.02, -151531.80, -53057.81, -46961.50, -17017.16, -29593.17, 0.000, 0.000, 0.000, 13:06:55.941"
"64, -54715.10, -52196.66, -187500.02, -151390.84, -53123.32, -47007.41, -16943.38, -29659.11, 0.000, 0.000, 0.000, 13:06:55.946"
"65, -54766.78, -52239.51, -187500.02, -151290.91, -53162.19, -47065.80, -16930.87, -29703.28, 0.000, 0.000, 0.000, 13:06:55.954"
"66, -54762.67, -52231.22, -187500.02, -151380.69, -53150.86, -47083.97, -17049.17, -29698.38, 0.000, 0.000, 0.000, 13:06:55.955"
"67, -54741.59, -52210.05, -187500.02, -151453.11, -53123.77, -47039.82, -17108.49, -29672.25, 0.000, 0.000, 0.000, 13:06:55.957"
"68, -54832.00, -52299.66, -187500.02, -151346.61, -53206.85, -47089.60, -17064.15, -29751.85, 0.000, 0.000, 0.000, 13:06:55.961"
"69, -54843.13, -52308.98, -187500.02, -151227.70, -53211.99, -47112.60, -17023.04, -29752.00, 0.000, 0.000, 0.000, 13:06:55.965"
"70, -54815.62, -52278.54, -187500.02, -151305.48, -53179.98, -47106.99, -17117.68, -29727.01, 0.000, 0.000, 0.000, 13:06:55.970"
"71, -54800.46, -52261.19, -187500.02, -151402.33, -53161.10, -47079.30, -17189.63, -29706.07, 0.000, 0.000, 0.000, 13:06:55.973"
"72, -54793.06, -52251.98, -187500.02, -151333.48, -53150.41, -47031.96, -17127.69, -29683.63, 0.000, 0.000, 0.000, 13:06:55.977"
"73, -54844.77, -52301.83, -187500.02, -151190.75, -53200.70, -47081.71, -17053.69, -29731.37, 0.000, 0.000, 0.000, 13:06:55.981"
"74, -54787.52, -52244.56, -187500.02, -151236.50, -53141.76, -47061.98, -17125.26, -29678.47, 0.000, 0.000, 0.000, 13:06:55.984"
"75, -54724.18, -52180.04, -187500.02, -151355.92, -53072.83, -46989.15, -17183.44, -29606.85, 0.000, 0.000, 0.000, 13:06:55.989"
"76, -54824.51, -52278.61, -187500.02, -151317.17, -53165.63, -47045.77, -17156.17, -29694.34, 0.000, 0.000, 0.000, 13:06:55.993"
"77, -54956.55, -52408.00, -187500.02, -151152.30, -53289.82, -47168.08, -17097.56, -29818.86, 0.000, 0.000, 0.000, 13:06:55.997"
"78, -54919.91, -52368.17, -187500.02, -151148.56, -53247.15, -47172.04, -17164.60, -29782.85, 0.000, 0.000, 0.000, 13:06:56.000"
"79, -54788.50, -52243.63, -187500.02, -151261.61, -53117.06, -47048.79, -17231.09, -29645.19, 0.000, 0.000, 0.000, 13:06:56.004"
"80, -54805.56, -52263.72, -187500.02, -151244.58, -53129.51, -47021.12, -17203.53, -29653.32, 0.000, 0.000, 0.000, 13:06:56.008"
"81, -54973.93, -52425.88, -187500.02, -151067.81, -53288.77, -47159.03, -17132.21, -29814.46, 0.000, 0.000, 0.000, 13:06:56.012"
"82, -54973.49, -52422.08, -187500.02, -151014.28, -53284.90, -47201.56, -17176.35, -29816.80, 0.000, 0.000, 0.000, 13:06:56.016"
"83, -54861.62, -52308.76, -187500.02, -151117.09, -53167.91, -47096.73, -17254.99, -29700.91, 0.000, 0.000, 0.000, 13:06:56.021"
"84, -54911.39, -52356.30, -187500.02, -151124.39, -53214.34, -47105.43, -17263.71, -29743.60, 0.000, 0.000, 0.000, 13:06:56.025"
"85, -55066.96, -52509.92, -187500.02, -150949.42, -53365.37, -47234.06, -17196.56, -29899.37, 0.000, 0.000, 0.000, 13:06:56.028"
"86, -55019.44, -52458.02, -187500.02, -150857.94, -53309.98, -47220.90, -17195.22, -29853.97, 0.000, 0.000, 0.000, 13:06:56.032"
"87, -54933.68, -52368.70, -187500.02, -150948.23, -53216.04, -47145.46, -17270.32, -29759.83, 0.000, 0.000, 0.000, 13:06:56.036"
"88, -54944.41, -52377.78, -187500.02, -150979.92, -53223.64, -47130.08, -17286.28, -29762.89, 0.000, 0.000, 0.000, 13:06:56.041"
"89, -55005.32, -52437.35, -187500.02, -150833.67, -53287.16, -47164.95, -17197.92, -29827.49, 0.000, 0.000, 0.000, 13:06:56.045"
"90, -55070.98, -52502.23, -187500.02, -150707.34, -53350.46, -47247.16, -17167.97, -29898.01, 0.000, 0.000, 0.000, 13:06:56.049"
"91, -55035.22, -52466.47, -187500.02, -150774.67, -53304.15, -47231.16, -17261.54, -29860.41, 0.000, 0.000, 0.000, 13:06:56.054"
"92, -55010.26, -52442.71, -187500.02, -150838.53, -53272.61, -47181.89, -17306.87, -29832.11, 0.000, 0.000, 0.000, 13:06:56.057"
"93, -55116.16, -52548.10, -187500.02, -150720.20, -53372.77, -47247.43, -17254.67, -29931.35, 0.000, 0.000, 0.000, 13:06:56.060"
"94, -55103.53, -52532.39, -187500.02, -150576.66, -53355.18, -47257.93, -17206.91, -29928.18, 0.000, 0.000, 0.000, 13:06:56.064"
"95, -54983.52, -52409.12, -187500.02, -150642.28, -53227.70, -47158.45, -17271.21, -29803.41, 0.000, 0.000, 0.000, 13:06:56.069"
"96, -55011.66, -52434.55, -187500.02, -150734.59, -53244.20, -47153.33, -17330.60, -29805.36, 0.000, 0.000, 0.000, 13:06:56.073"
"97, -55079.30, -52501.16, -187500.02, -150656.50, -53304.48, -47183.55, -17292.96, -29863.99, 0.000, 0.000, 0.000, 13:06:56.078"
"98, -55152.79, -52575.86, -187500.02, -150495.00, -53375.05, -47259.01, -17232.46, -29944.68, 0.000, 0.000, 0.000, 13:06:56.082"
"99, -55111.09, -52533.19, -187500.02, -150518.14, -53331.98, -47259.05, -17311.67, -29904.00, 0.000, 0.000, 0.000, 13:06:56.085"
"100, -55049.98, -52473.56, -187500.02, -150623.59, -53270.00, -47199.15, -17392.05, -29839.71, 0.000, 0.000, 0.000, 13:06:56.089"
"101, -55059.25, -52481.89, -187500.02, -150580.30, -53275.83, -47164.77, -17362.05, -29838.33, 0.000, 0.000, 0.000, 13:06:56.093"
"102, -55176.48, -52596.54, -187500.02, -150405.94, -53386.29, -47259.77, -17286.97, -29949.21, 0.000, 0.000, 0.000, 13:06:56.097"
"103, -55181.11, -52597.61, -187500.02, -150383.36, -53384.01, -47300.65, -17353.58, -29955.05, 0.000, 0.000, 0.000, 13:06:56.101"
"104, -55073.40, -52488.00, -187500.02, -150491.20, -53270.55, -47199.08, -17436.15, -29851.69, 0.000, 0.000, 0.000, 13:06:56.105"
"105, -55082.25, -52496.07, -187500.02, -150484.81, -53276.25, -47170.85, -17426.22, -29857.82, 0.000, 0.000, 0.000, 13:06:56.110"
"106, -55185.83, -52598.26, -187500.02, -150317.84, -53376.41, -47254.61, -17345.33, -29956.97, 0.000, 0.000, 0.000, 13:06:56.113"
"107, -55150.16, -52560.24, -187500.02, -150269.98, -53339.33, -47256.70, -17368.73, -29927.22, 0.000, 0.000, 0.000, 13:06:56.117"
"108, -55074.16, -52481.74, -187500.02, -150389.03, -53259.64, -47188.53, -17452.82, -29853.12, 0.000, 0.000, 0.000, 13:06:56.121"
"109, -55099.53, -52504.85, -187500.02, -150425.48, -53281.77, -47187.05, -17473.14, -29873.42, 0.000, 0.000, 0.000, 13:06:56.125"
"110, -55195.46, -52600.31, -187500.02, -150287.06, -53372.81, -47246.13, -17391.09, -29954.38, 0.000, 0.000, 0.000, 13:06:56.129"
"111, -55241.35, -52643.18, -187500.02, -150212.02, -53416.24, -47321.93, -17400.74, -30009.47, 0.000, 0.000, 0.000, 13:06:56.133"
"112, -55136.95, -52533.13, -187500.02, -150332.03, -53307.41, -47246.13, -17494.58, -29907.24, 0.000, 0.000, 0.000, 13:06:56.137"
"113, -55120.32, -52515.80, -187500.02, -150414.66, -53287.34, -47197.74, -17520.88, -29875.25, 0.000, 0.000, 0.000, 13:06:56.140"
"114, -55208.32, -52602.53, -187500.02, -150314.78, -53372.45, -47251.07, -17452.96, -29954.94, 0.000, 0.000, 0.000, 13:06:56.144"
"115, -55217.28, -52607.69, -187500.02, -150226.61, -53377.21, -47281.83, -17420.81, -29963.16, 0.000, 0.000, 0.000, 13:06:56.149"
"116, -55151.23, -52538.54, -187500.02, -150343.06, -53308.62, -47246.47, -17510.76, -29908.02, 0.000, 0.000, 0.000, 13:06:56.153"
"117, -55124.63, -52508.98, -187500.02, -150463.11, -53284.37, -47211.33, -17567.35, -29900.51, 0.000, 0.000, 0.000, 13:06:56.157"
"118, -55217.84, -52599.17, -187500.02, -150405.16, -53377.64, -47265.78, -17523.07, -29987.37, 0.000, 0.000, 0.000, 13:06:56.161"
"119, -55276.15, -52653.82, -187500.02, -150302.27, -53433.83, -47335.50, -17487.27, -30044.54, 0.000, 0.000, 0.000, 13:06:56.165"
"120, -55197.41, -52571.50, -187500.02, -150397.22, -53351.94, -47290.28, -17573.54, -29954.96, 0.000, 0.000, 0.000, 13:06:56.168"
"121, -55085.11, -52455.52, -187500.02, -150546.69, -53233.85, -47168.97, -17624.17, -29830.44, 0.000, 0.000, 0.000, 13:06:56.172"
"122, -55136.30, -52507.71, -187500.02, -150531.73, -53280.84, -47171.70, -17577.28, -29871.07, 0.000, 0.000, 0.000, 13:06:56.177"
"123, -55253.11, -52621.41, -187500.02, -150410.61, -53389.98, -47279.55, -17520.06, -29977.58, 0.000, 0.000, 0.000, 13:06:56.181"
"124, -55177.85, -52539.07, -187500.02, -150471.33, -53304.28, -47236.88, -17594.53, -29896.82, 0.000, 0.000, 0.000, 13:06:56.185"
"125, -55117.50, -52474.96, -187500.02, -150623.42, -53234.28, -47161.64, -17672.94, -29828.96, 0.000, 0.000, 0.000, 13:06:56.189"
"126, -55172.89, -52525.99, -187500.02, -150626.64, -53279.96, -47172.84, -17659.31, -29859.63, 0.000, 0.000, 0.000, 13:06:56.193"
"127, -55264.04, -52613.28, -187500.02, -150487.89, -53363.96, -47247.38, -17586.66, -29936.67, 0.000, 0.000, 0.000, 13:06:56.197"
"128, -55232.99, -52577.43, -187500.02, -150494.30, -53327.64, -47249.33, -17636.69, -29907.79, 0.000, 0.000, 0.000, 13:06:56.200"
"129, -55184.85, -52527.18, -187500.02, -150629.73, -53273.84, -47213.61, -17737.07, -29858.78, 0.000, 0.000, 0.000, 13:06:56.205"
"130, -55152.48, -52493.36, -187500.02, -150658.11, -53233.67, -47147.41, -17728.15, -29818.99, 0.000, 0.000, 0.000, 13:06:56.209"
"131, -55245.31, -52581.14, -187500.02, -150515.02, -53318.61, -47210.66, -17642.48, -29899.79, 0.000, 0.000, 0.000, 13:06:56.213"
"132, -55276.96, -52606.04, -187500.02, -150463.58, -53342.70, -47273.42, -17674.98, -29934.19, 0.000, 0.000, 0.000, 13:06:56.217"
"133, -55197.92, -52524.23, -187500.02, -150577.63, -53258.66, -47218.06, -17779.11, -29856.01, 0.000, 0.000, 0.000, 13:06:56.220"
"134, -55159.50, -52484.04, -187500.02, -150620.27, -53214.81, -47147.41, -17790.67, -29805.36, 0.000, 0.000, 0.000, 13:06:56.224"
"135, -55252.04, -52575.41, -187500.02, -150475.27, -53303.90, -47205.32, -17708.57, -29888.66, 0.000, 0.000, 0.000, 13:06:56.228"
"136, -55316.48, -52636.25, -187500.02, -150373.02, -53363.29, -47290.37, -17712.42, -29951.38, 0.000, 0.000, 0.000, 13:06:56.232"
"137, -55212.07, -52526.04, -187500.02, -150467.17, -53253.52, -47215.18, -17813.89, -29845.08, 0.000, 0.000, 0.000, 13:06:56.237"
"138, -55179.17, -52492.45, -187500.02, -150536.67, -53220.71, -47155.90, -17847.17, -29808.69, 0.000, 0.000, 0.000, 13:06:56.241"
"139, -55326.20, -52639.45, -187500.02, -150411.36, -53365.82, -47269.22, -17793.60, -29954.09, 0.000, 0.000, 0.000, 13:06:56.244"
"140, -55370.59, -52680.85, -187500.02, -150280.09, -53406.79, -47335.65, -17768.61, -29999.42, 0.000, 0.000, 0.000, 13:06:56.250"
"141, -55295.04, -52606.53, -187500.02, -150351.66, -53332.04, -47301.30, -17869.59, -29939.20, 0.000, 0.000, 0.000, 13:06:56.267"
"142, -55229.59, -52540.07, -187500.02, -150441.31, -53262.37, -47224.61, -17927.55, -29874.40, 0.000, 0.000, 0.000, 13:06:56.267"
"143, -55319.71, -52627.45, -187500.02, -150351.00, -53345.23, -47273.89, -17885.55, -29958.27, 0.000, 0.000, 0.000, 13:06:56.267"
"144, -55390.08, -52695.22, -187500.02, -150196.03, -53409.43, -47352.37, -17847.78, -30029.70, 0.000, 0.000, 0.000, 13:06:56.267"
"145, -55307.51, -52609.61, -187500.02, -150236.19, -53320.82, -47303.22, -17944.29, -29944.43, 0.000, 0.000, 0.000, 13:06:56.269"
"146, -55217.39, -52520.18, -187500.02, -150331.84, -53223.91, -47200.54, -18015.44, -29846.33, 0.000, 0.000, 0.000, 13:06:56.272"
"147, -55292.34, -52596.69, -187500.02, -150255.27, -53293.15, -47226.73, -17987.23, -29914.43, 0.000, 0.000, 0.000, 13:06:56.276"
"148, -55403.27, -52707.18, -187500.02, -150060.05, -53400.98, -47331.20, -17931.87, -30025.43, 0.000, 0.000, 0.000, 13:06:56.280"
"149, -55410.38, -52711.71, -187500.02, -150023.77, -53408.26, -47379.15, -18025.27, -30040.10, 0.000, 0.000, 0.000, 13:06:56.284"
"150, -55319.36, -52620.12, -187500.02, -150089.56, -53316.57, -47291.64, -18125.21, -29942.75, 0.000, 0.000, 0.000, 13:06:56.288"
"151, -55365.58, -52666.72, -187500.02, -150014.98, -53359.51, -47293.63, -18123.55, -29985.67, 0.000, 0.000, 0.000, 13:06:56.292"
"152, -55453.04, -52752.95, -187500.02, -149790.95, -53440.02, -47373.27, -18060.66, -30082.79, 0.000, 0.000, 0.000, 13:06:56.297"
"153, -55433.55, -52730.65, -187500.02, -149703.00, -53418.41, -47393.56, -18124.34, -30067.88, 0.000, 0.000, 0.000, 13:06:56.300"
"154, -55323.23, -52619.47, -187500.02, -149766.83, -53306.94, -47296.94, -18232.00, -29957.80, 0.000, 0.000, 0.000, 13:06:56.304"
"155, -55320.95, -52619.07, -187500.02, -149740.36, -53304.53, -47257.24, -18243.54, -29949.28, 0.000, 0.000, 0.000, 13:06:56.308"
